timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1486773014703,0,310,6.8115234375E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014742,0,293,6.43798828125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014752,0,-133,-2.92236328125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014779,0,-28,-6.15234375E-6,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014789,0,-280,-6.15234375E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014820,0,-15,-3.2958984375E-6,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014830,0,-26,-5.712890625E-6,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014863,0,92,2.021484375E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014873,0,-128,-2.8125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014899,0,-273,-5.998535156250001E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014937,0,-129,-2.8344726562500002E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014975,0,-378,-8.3056640625E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773014989,0,-365,-8.02001953125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015014,0,-148,-3.251953125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015024,0,-132,-2.900390625E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015034,0,-200,-4.39453125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015053,0,-228,-5.0097656250000005E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015063,0,-76,-1.669921875E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015073,0,39,8.5693359375E-6,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015092,0,-205,-4.50439453125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015102,0,26,5.712890625E-6,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015133,0,-206,-4.5263671875E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015143,0,-164,-3.6035156249999995E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015169,0,-365,-8.02001953125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015205,0,-332,-7.294921875E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015215,0,289,6.35009765625E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015249,0,44,9.66796875E-6,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015259,0,55,1.20849609375E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015284,0,98,2.1533203125E-5,75,64,55,338151,735453,242724,3397,6091,235164,5941,1194370,Tag0,unknown
1486773015320,0,-138,-3.0322265625E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015334,0,-201,-4.41650390625E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015345,0,-523,-1.149169921875E-4,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
